batch,Instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,percNeg,par_CP,vertices,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,effort,NPV,time
"['50', '10', '2', '10', '20']",dg10.tpf,HS,50,10,2,10,20,1,52,94,7,2,1,"1,510204082",2,1,"1,551020408","0,1","11,53846154",80,40,153,"617,3241127","0,00099802017"
"['50', '10', '2', '10', '20']",dg10.tpf,RS,50,10,2,10,20,1,52,94,7,2,1,"1,510204082",2,1,"1,551020408","0,1","11,53846154",80,40,295,"616,1490006","0,00398945808"
"['50', '10', '2', '10', '20']",dg2.tpf,SAA,50,10,2,10,20,1,52,93,9,2,1,"1,571428571",2,1,"1,612244898","0,1","15,38461538",116,58,1018,"308,3561881","0,00997304916"
"['50', '10', '2', '10', '20']",dg2.tpf,HS,50,10,2,10,20,1,52,93,9,2,1,"1,571428571",2,1,"1,612244898","0,1","15,38461538",116,58,407,"308,3561881","0,00299239159"
"['50', '10', '2', '10', '20']",dg2.tpf,RS,50,10,2,10,20,1,52,93,9,2,1,"1,571428571",2,1,"1,612244898","0,1","15,38461538",116,58,517,"308,3561881","0,00199365616"
"['50', '10', '2', '10', '20']",dg3.tpf,SAA,50,10,2,10,20,1,52,94,8,2,1,"1,571428571",2,1,"1,530612245","0,1","17,30769231",102,51,672,"444,3913895","0,00897359848"
"['50', '10', '2', '10', '20']",dg3.tpf,HS,50,10,2,10,20,1,52,94,8,2,1,"1,571428571",2,1,"1,530612245","0,1","17,30769231",102,51,286,"444,3913895","0,00199723244"
"['50', '10', '2', '10', '20']",dg3.tpf,RS,50,10,2,10,20,1,52,94,8,2,1,"1,571428571",2,1,"1,530612245","0,1","17,30769231",102,51,357,"444,3913895","0,00099635124"
"['50', '10', '2', '10', '20']",dg4.tpf,SAA,50,10,2,10,20,1,52,93,8,2,1,"1,510204082",2,1,"1,510204082","0,1","13,46153846",80,40,423,"608,1687319","0,00997066498"
"['50', '10', '2', '10', '20']",dg4.tpf,HS,50,10,2,10,20,1,52,93,8,2,1,"1,510204082",2,1,"1,510204082","0,1","13,46153846",80,40,170,"608,1687319","0,00099849701"
"['50', '10', '2', '10', '20']",dg4.tpf,RS,50,10,2,10,20,1,52,93,8,2,1,"1,510204082",2,1,"1,510204082","0,1","13,46153846",80,40,142,"608,1687319","0,00199460983"
"['50', '10', '2', '10', '20']",dg5.tpf,SAA,50,10,2,10,20,1,52,94,7,2,1,"1,591836735",2,1,"1,551020408","0,1","17,30769231",120,60,894,"422,6653117","0,00598406792"
"['50', '10', '2', '10', '20']",dg5.tpf,HS,50,10,2,10,20,1,52,94,7,2,1,"1,591836735",2,1,"1,551020408","0,1","17,30769231",120,60,369,"422,6653117","0,00498652458"
